City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Dunedin,NZ,-45.8742,170.5036,54.0,80,92,1.99,overcast clouds
206,Gizo,SB,-8.103,156.8419,82.15,72,78,3.8,broken clouds
207,Iskitim,RU,54.6366,83.3045,23.0,68,0,8.95,clear sky
208,Avarua,CK,-21.2078,-159.775,77.0,88,90,3.44,overcast clouds
209,Marinette,US,45.1,-87.6307,41.0,52,1,5.75,clear sky
210,Laguna,US,38.421,-121.4238,55.0,93,90,3.44,overcast clouds
211,Brandon,US,27.9378,-82.2859,71.01,60,40,10.36,scattered clouds
212,Ahipara,NZ,-35.1667,173.1667,57.34,84,3,7.78,clear sky
213,Cidreira,BR,-30.1811,-50.2056,75.72,64,59,10.18,broken clouds
214,Pervomayskiy,RU,53.2485,40.2871,32.0,65,100,7.65,light snow
215,Fortuna,US,40.5982,-124.1573,52.0,93,40,9.22,scattered clouds
216,Rundu,NA,-17.9333,19.7667,74.1,62,63,4.41,broken clouds
217,Phan Thiet,VN,10.9333,108.1,75.67,90,79,10.11,broken clouds
218,Mount Isa,AU,-20.7333,139.5,82.4,44,75,10.36,light rain
219,Matara,LK,5.9485,80.5353,77.61,79,100,3.24,overcast clouds
220,Capitola,US,36.9752,-121.9533,55.4,94,90,0.72,mist
221,Tabuk,PH,17.4189,121.4443,72.93,93,76,1.66,broken clouds
222,Lorengau,PG,-2.0226,147.2712,80.65,75,18,2.57,few clouds
223,Kambove,CD,-10.8764,26.5969,64.92,93,93,1.95,light rain
224,Alexandria,EG,31.2156,29.9553,66.2,45,0,5.75,clear sky
225,Pombas,CV,17.1503,-25.0201,77.0,57,40,27.63,scattered clouds
226,Hermosillo,MX,29.0667,-110.9667,75.0,24,1,0.81,clear sky
227,Macaubas,BR,-13.0194,-42.6986,88.86,33,81,4.72,broken clouds
228,Pisco,PE,-13.7,-76.2167,75.99,78,0,8.05,clear sky
229,Kodiak,US,57.79,-152.4072,14.0,57,1,6.91,clear sky
230,Muli,MV,2.9167,73.5667,83.52,70,65,5.95,broken clouds
231,Bambous Virieux,MU,-20.3428,57.7575,78.8,78,40,6.91,light rain
232,Nguru,NG,12.8791,10.4526,96.87,12,0,4.23,clear sky
233,Krasnoselkup,RU,65.7,82.4667,-13.13,96,13,10.89,few clouds
234,Herat,AF,34.5,62.0,60.8,44,40,10.36,light rain
235,Coquimbo,CL,-29.9533,-71.3436,66.2,55,75,10.36,broken clouds
236,Skibbereen,IE,51.55,-9.2667,51.8,82,75,6.91,broken clouds
237,Kruisfontein,ZA,-34.0033,24.7314,63.28,84,100,10.49,light rain
238,Khorinsk,RU,52.1657,109.7726,6.69,89,28,4.43,scattered clouds
239,Ilulissat,GL,69.2167,-51.1,21.2,53,75,17.27,broken clouds
240,Pacific Grove,US,36.6177,-121.9166,55.0,88,100,3.02,overcast clouds
241,Port Hardy,CA,50.6996,-127.4199,46.4,87,75,6.91,broken clouds
242,Yuli,NG,9.6989,10.2744,100.98,17,58,3.38,broken clouds
243,Lakes Entrance,AU,-37.8811,147.981,61.0,89,11,3.0,few clouds
244,Mendi,PG,-6.1761,143.6513,53.87,93,100,2.44,overcast clouds
245,Leningradskiy,RU,69.3833,178.4167,-23.04,84,15,1.54,few clouds
246,Tiksi,RU,71.6872,128.8694,-17.55,95,84,14.81,broken clouds
247,Panaba,MX,21.2833,-88.2667,78.82,65,58,12.5,broken clouds
248,Korla,CN,41.7597,86.1469,38.01,65,0,3.62,clear sky
249,Tall Kayf,TR,37.0833,41.0667,50.7,59,66,3.98,broken clouds
250,Namibe,AO,-15.1961,12.1522,74.26,75,60,12.21,broken clouds
251,Pochutla,MX,15.7432,-96.4661,90.0,42,1,8.59,clear sky
252,Omboue,GA,-1.5746,9.2618,77.7,85,91,6.4,overcast clouds
253,Udachnyy,RU,66.4167,112.4,-18.4,94,90,6.22,overcast clouds
254,Lata,PT,40.1629,-8.3327,62.01,54,20,5.01,few clouds
255,Ciudad Bolivar,VE,8.1222,-63.5497,92.57,33,6,10.09,clear sky
256,Hobyo,SO,5.3505,48.5268,81.72,78,83,16.87,broken clouds
257,Da Lat,VN,11.9465,108.4419,60.67,79,27,1.79,scattered clouds
258,Cairns,AU,-16.9167,145.7667,75.2,88,40,5.75,scattered clouds
259,Taoudenni,ML,22.6783,-3.9836,94.42,5,0,17.22,clear sky
260,Uyar,RU,55.81,94.3153,17.37,78,63,13.27,broken clouds
261,Henties Bay,NA,-22.116,14.2845,66.0,83,2,8.01,clear sky
262,Galdar,ES,28.147,-15.6502,71.6,49,20,27.63,few clouds
263,Rio Gallegos,AR,-51.6226,-69.2181,51.8,76,90,5.75,light rain
264,Zharkent,KZ,44.1628,80.0,42.17,32,0,4.41,clear sky
265,Campobasso,IT,41.6333,14.5833,46.0,59,100,1.01,overcast clouds
266,Pangody,RU,65.85,74.4859,-17.23,97,4,10.02,clear sky
267,George Town,MY,5.4112,100.3354,82.4,57,20,3.44,few clouds
268,Giyon,ET,8.5333,37.9833,68.76,28,41,13.18,scattered clouds
269,Khandwa,IN,21.8333,76.3333,75.38,51,22,10.87,few clouds
270,Chipinge,ZW,-20.1883,32.6236,65.75,83,8,6.87,clear sky
271,Registro,BR,-24.4875,-47.8436,78.3,92,41,3.87,light rain
272,Berezovyy,RU,51.6667,135.7,16.83,87,81,1.92,broken clouds
273,Placido De Castro,BR,-10.3353,-67.1856,77.94,92,98,1.07,overcast clouds
274,Xuddur,SO,4.1213,43.8894,85.21,47,34,9.98,scattered clouds
275,Zhuanghe,CN,39.7008,122.9911,44.01,56,100,1.01,moderate rain
276,Douentza,ML,14.9951,-2.9517,99.57,7,11,9.33,few clouds
277,Clarence Town,AU,-32.5833,151.7833,69.01,100,75,13.8,moderate rain
278,Celestun,MX,20.8667,-90.4,76.44,69,0,16.96,clear sky
279,Agadez,NE,19.75,10.25,96.91,10,46,10.98,scattered clouds
280,Geraldton,AU,-28.7667,114.6,66.2,55,0,5.75,clear sky
281,Pimentel,PE,-6.8367,-79.9342,82.4,54,0,8.05,clear sky
282,Rapid City,US,44.0805,-103.231,48.0,65,1,3.44,clear sky
283,Urbano Santos,BR,-3.2078,-43.4036,83.7,78,84,4.27,light rain
284,Navahrudak,BY,53.6,25.8333,28.24,78,100,3.38,overcast clouds
285,Acarau,BR,-2.8856,-40.12,85.28,68,65,13.58,broken clouds
286,Sicamous,CA,50.8331,-118.9856,45.0,81,51,1.14,broken clouds
287,Severo-Kurilsk,RU,50.6789,156.125,27.16,89,100,16.84,overcast clouds
288,Horta,PT,38.5333,-28.6333,62.6,82,75,17.27,broken clouds
289,Salamiyah,SY,35.0113,37.0532,52.02,58,0,6.38,clear sky
290,Biltine,TD,14.5333,20.9167,94.01,10,61,9.89,broken clouds
291,Port Macquarie,AU,-31.4333,152.9167,69.8,94,75,24.16,broken clouds
292,Calvia,ES,39.5657,2.5062,46.4,81,75,3.44,broken clouds
293,Muravlenko,RU,63.7898,74.523,5.14,95,100,14.03,overcast clouds
294,Russell,US,32.3502,-85.1999,55.4,58,90,10.36,overcast clouds
295,Lampang,TH,18.3333,99.5,88.0,49,0,0.92,clear sky
296,Lukovetskiy,RU,64.2956,41.9211,10.4,79,0,4.47,clear sky
297,Ahuimanu,US,21.4447,-157.8378,69.8,68,75,12.66,broken clouds
298,Bac Lieu,VN,9.285,105.7244,78.1,89,47,7.31,scattered clouds
299,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.8,48,20,13.8,few clouds
300,Clyde River,CA,70.4692,-68.5914,-16.6,69,20,3.44,few clouds
301,Anapskaya,RU,44.89,37.38,42.8,81,75,2.24,broken clouds
302,Hami,CN,42.8,93.45,34.63,20,0,11.88,clear sky
303,Vila,PT,42.0304,-8.1588,50.0,75,95,14.0,overcast clouds
304,Seoul,KR,37.5683,126.9778,57.2,66,60,3.44,broken clouds
305,Copiapo,CL,-27.3667,-70.3333,68.0,45,0,8.05,clear sky
306,Tacna,PE,-18.0056,-70.2483,75.2,56,20,6.91,few clouds
307,Tambau,BR,-21.705,-47.2744,86.0,51,40,5.75,scattered clouds
308,Bethel,US,41.3712,-73.414,35.6,32,1,16.11,clear sky
309,Longyearbyen,SJ,78.2186,15.6401,32.0,74,40,11.5,scattered clouds
310,Broome,US,42.2506,-75.833,33.01,43,1,18.41,clear sky
