City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Sistranda,NO,2021-01-30 21:07:10,63.7256,8.834,32.0,93,90,10.36
89,Maumere,ID,2021-01-30 21:07:10,-8.6199,122.2111,79.77,79,100,3.24
90,Chapais,CA,2021-01-30 21:07:04,49.7834,-74.8492,-0.4,65,90,8.05
91,Fairbanks,US,2021-01-30 21:05:32,64.8378,-147.7164,-5.01,71,90,0.67
92,Karasburg,NA,2021-01-30 21:07:10,-28.0167,18.75,76.1,25,0,12.57
93,Jumla,NP,2021-01-30 21:07:10,29.2747,82.1838,30.27,62,0,3.13
94,Gallup,US,2021-01-30 21:07:10,35.5281,-108.7426,37.4,48,1,4.61
95,Hithadhoo,MV,2021-01-30 21:07:11,-0.6,73.0833,81.63,80,40,16.44
96,Marquette,US,2021-01-30 21:07:11,46.5333,-87.6335,28.99,64,100,3.0
97,Kinsale,IE,2021-01-30 21:07:11,51.7075,-8.5306,41.0,87,75,14.97
98,Rocha,UY,2021-01-30 21:07:11,-34.4833,-54.3333,72.46,76,100,17.6
99,Talnakh,RU,2021-01-30 21:07:06,69.4865,88.3972,-30.77,71,0,6.78
100,West Bay,KY,2021-01-30 21:06:58,19.3667,-81.4167,80.6,61,20,20.71
101,Bredasdorp,ZA,2021-01-30 21:05:17,-34.5322,20.0403,66.99,85,8,1.01
102,Severo-Kurilsk,RU,2021-01-30 21:07:12,50.6789,156.125,25.14,95,99,29.73
103,Buta,CD,2021-01-30 21:07:12,2.7858,24.73,71.96,44,35,2.21
104,Broken Hill,AU,2021-01-30 21:07:12,-31.95,141.4333,64.4,63,96,10.36
105,Pemangkat,ID,2021-01-30 21:06:23,1.1667,108.9667,77.07,88,100,12.64
106,Valparaiso,CL,2021-01-30 21:07:12,-33.0393,-71.6273,66.99,100,90,5.75
107,Polyarnyye Zori,RU,2021-01-30 21:07:13,67.3661,32.4981,10.99,95,100,3.71
108,Wattegama,LK,2021-01-30 21:07:13,6.7989,81.4808,74.39,84,96,4.9
109,Tukrah,LY,2021-01-30 21:07:13,32.5341,20.5791,59.88,88,4,9.6
